Timestamp,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
2023-05-17 15:13:29.836,0.08183272,-0.16848189,0.18187404,0.06245688,0.9914686,-0.077662215,-0.08401042
2023-05-17 15:13:29.845,0.08773704,-0.17022544,0.18026835,0.04943979,0.992111,-0.07914838,-0.08370799
2023-05-17 15:13:29.850,0.08773704,-0.17022544,0.18026835,0.04943979,0.992111,-0.07914838,-0.08370799
2023-05-17 15:13:29.856,0.08773704,-0.17022544,0.18026835,0.04943979,0.992111,-0.07914838,-0.08370799
2023-05-17 15:13:29.901,0.08800166,-0.16882563,0.18078898,0.049494613,0.9917954,-0.08298168,-0.08370269
2023-05-17 15:13:29.987,0.08825633,-0.16642207,0.1822883,0.049929664,0.9911945,-0.088876754,-0.08450691
2023-05-17 15:13:30.085,0.08841688,-0.164572,0.18300599,0.04997348,0.9907808,-0.09280681,-0.085105285
2023-05-17 15:13:30.181,0.08877438,-0.16354984,0.18306427,0.049490616,0.99063694,-0.09502579,-0.08461202
2023-05-17 15:13:30.279,0.088756934,-0.16286057,0.18347974,0.04971337,0.9904702,-0.096711114,-0.08452406
2023-05-17 15:13:30.390,0.0890532,-0.16264689,0.18399028,0.04958368,0.9904899,-0.0978079,-0.08309555
2023-05-17 15:13:30.488,0.08900509,-0.16294473,0.18441878,0.049778234,0.9904778,-0.09806563,-0.08281888
2023-05-17 15:13:30.585,0.087160766,-0.1653195,0.18467575,0.052781664,0.9901793,-0.095529616,-0.08736712
2023-05-17 15:13:30.683,0.086834386,-0.17192954,0.18556482,0.05269021,0.9904262,-0.09089663,-0.08953986
2023-05-17 15:13:30.780,0.083607554,-0.18201679,0.18559411,0.057331707,0.9900251,-0.08169122,-0.09944831
2023-05-17 15:13:30.891,0.08057051,-0.19155097,0.18440022,0.060445506,0.99024683,-0.07112604,-0.103434235
2023-05-17 15:13:30.990,0.07984643,-0.19767326,0.18395075,0.05979692,0.9904642,-0.064898886,-0.10579698
2023-05-17 15:13:31.087,0.08131865,-0.19952196,0.18338417,0.055970922,0.99119276,-0.06117294,-0.10325688
2023-05-17 15:13:31.184,0.08231019,-0.2003845,0.18233795,0.053880744,0.9918842,-0.05795479,-0.09951805
2023-05-17 15:13:31.282,0.08139918,-0.20297772,0.180568,0.05498627,0.9918871,-0.051814266,-0.10223361
2023-05-17 15:13:31.379,0.08203312,-0.2048195,0.17970003,0.052641813,0.9921845,-0.047676653,-0.10259456
